sample	unit	platform	cram
1907879_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1907879_23163_0_0.cram
1910851_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1910851_23163_0_0.cram
1912652_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1912652_23163_0_0.cram
1922391_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1922391_23163_0_0.cram
1945683_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1945683_23163_0_0.cram
1959932_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1959932_23163_0_0.cram
1968308_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1968308_23163_0_0.cram
1968918_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1968918_23163_0_0.cram
1973011_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1973011_23163_0_0.cram
1973366_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1973366_23163_0_0.cram
1978545_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1978545_23163_0_0.cram
1984702_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1984702_23163_0_0.cram
1985435_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1985435_23163_0_0.cram
1988023_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1988023_23163_0_0.cram
1989115_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1989115_23163_0_0.cram
1996018_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1996018_23163_0_0.cram
1997225_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1997225_23163_0_0.cram
2009041_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2009041_23163_0_0.cram
2010037_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2010037_23163_0_0.cram
2011892_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2011892_23163_0_0.cram
2013507_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2013507_23163_0_0.cram
2016267_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2016267_23163_0_0.cram
2022779_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2022779_23163_0_0.cram
2050677_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2050677_23163_0_0.cram
2053542_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2053542_23163_0_0.cram
2057698_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2057698_23163_0_0.cram
2058565_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2058565_23163_0_0.cram
2064543_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2064543_23163_0_0.cram
2072109_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2072109_23163_0_0.cram
2076983_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2076983_23163_0_0.cram
2080492_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2080492_23163_0_0.cram
2084794_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2084794_23163_0_0.cram
2096298_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2096298_23163_0_0.cram
2096868_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2096868_23163_0_0.cram
2096911_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2096911_23163_0_0.cram
2097405_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2097405_23163_0_0.cram
2101238_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2101238_23163_0_0.cram
2107675_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/2107675_23163_0_0.cram
